!sil 1.0	sil
-versity 1.0	v er s ih t iy
-verting 1.0	v er t ih ng
-vestment 1.0	v eh s t m ih n t
-way 1.0	w ey
-way- 1.0	w ey
-where 1.0	w ey r
-y 1.0	ay
-y 1.0	iy
-z 1.0	z
.s 1.0	s
007 1.0	d ah b ax l ow s eh v ih n
1 1.0	w ah n
100 1.0	hh ah n d r ih d
101 1.0	w ah n ow w ah n
10a 1.0	t eh n ey
1200 1.0	t w eh l v hh ah n d r ih d
125k 1.0	w ah n hh ah n d r ih d ax n t w eh n t iy f ay v k ey
128 1.0	w ah n t uw ey t
13th  1.0	th er t iy n th
13th 1.0	th er t iy n th
13ths  1.0	th er t iy n th z
150 1.0	w ah n f ih f t iy
1500 1.0	f ih f t iy n th hh ah n d r ih d
2 1.0	t uw
20/20 1.0	t w eh n t iy t w eh n t iy
2000 1.0	t uw th aw z ih n d
21 1.0	t w eh n t iy w ah n
260 1.0	t uw s ih k s t iy
286 1.0	t uw ey t iy s ih k s
287 1.0	t uw ey t iy s eh v ax n
2ci 1.0	t uw s iy ay
302 1.0	th r iy ow t uw
365 1.0	th r iy s ih k s t iy f ay v
380 1.0	th r iy ey t iy
386 1.0	th r iy ey t iy s ih k s
4-runner 1.0	f ow r r ah n er
40- 1.0	f ow r ow
401- 1.0	f ow r ow w ah n
401k 1.0	f ow r ow w ah n k ey
401k's 1.0	f ow r ow w ah n k ey z
48 1.0	f ow r t iy ey t
486 1.0	f ow r ey t iy s ih k s
49er 1.0	f ow r t iy n ay n er
49ers 1.0	f ow r t iy n ay n er z
4h 1.0	f ow r ey ch
4o- 1.0	f ow r ow
5 1.0	f ay v
500 1.0	f ay v hh ah n d r ih d
60 1.0	s ih k s t iy
635 1.0	s ih k s th er t iy f ay v
635's 1.0	ih k s th er t iy f ay v
69 1.0	s ih k s t iy n ay n
6s 1.0	s ih k s ih z
7-eleven 1.0	s eh v ih n ih l eh v ih n
7-up 1.0	s eh v ih n ah p
7094 1.0	s eh v eh n ow n ay n f ow r
747 1.0	s eh v ih n f ow r s eh v ih n
8088 1.0	ey t iy ey t iy ey t
90210 1.0	n ay n ow t uw w ah n ow
9050 1.0	n ay n th aw z ih n d f ih f t iy
911 1.0	n ay n w ah n w ah n
990 1.0	n ay n n ay n t iy
<unk> 1.0	spn
[laughter] 1.0	lau
[noise] 1.0	nsn
[vocalized-noise] 1.0	spn
a 1.0	ae
a 1.0	ax
a 1.0	eh
a&e 1.0	ey ae n d iy
a&m 1.0	ey ae n d eh m
a- 1.0	aa
a- 1.0	ae
a- 1.0	ae l
a- 1.0	ao
a- 1.0	ax
a- 1.0	ax 
a- 1.0	eh
a- 1.0	ey
a. 1.0	ey
a.'s 1.0	ey z
a._a._r._p. 1.0	ey ey aa r p iy
a._b._a. 1.0	ey b iy ey
a._b._c. 1.0	ey b iy s iy
a._b._c.'s 1.0	ey b iy s iy z
a._c. 1.0	ey s iy
a._c._c. 1.0	ey s iy s iy
a._c._l._u. 1.0	ey s iy eh l y uw
a._c._l._u.'s 1.0	ey s iy eh l y uw z
a._c._m. 1.0	ey s iy eh m
a._f._c. 1.0	ey eh f s iy
a._f._c.'s 1.0	ey eh f s iy z
a._f._c.s 1.0	ey eh f s iy z
a._f._l. 1.0	ey eh f eh l
a._i._c._p._a. 1.0	ey ay s iy p iy ey
a._i._t. 1.0	ey ay t iy
a._j.s 1.0	ey jh ey s
a._k._c. 1.0	ey k ey s iy
a._m. 1.0	ey eh m
a._m._a. 1.0	ey eh m ey
a._o._r. 1.0	ey ow aa r
a._p. 1.0	ey p iy
a._p._a. 1.0	ey p iy ey
a._p._d. 1.0	ey p iy d iy
a._p._r. 1.0	ey p iy aa r
a._r._e. 1.0	ey aa r iy
a._r._i. 1.0	ey aa r ay
a._s._t. 1.0	ey eh s t iy
a._t. 1.0	ey t iy
a._t._m. 1.0	ey t iy eh m
a._t._m.'s 1.0	ey t iy eh m s
a._t.s 1.0	ey t iy s
a._z._t. 1.0	ey z iy t iy
a1 1.0	ey w ah n
aames 1.0	ey m z
aaron 1.0	ey r ih n
ab- 1.0	ae b
ab- 1.0	ax b
ab- 1.0	ey b
aback 1.0	ax b ae k
abacus 1.0	ae b ax k ax s
abalon 1.0	ae b ax l aa n
abalone 1.0	ae b ax l ow n iy
abandon 1.0	ax b ae n d ih n
abandoned 1.0	ax b ae n d ih n d
abandoning 1.0	ax b ae n d ih n ih ng
abbreviated 1.0	ax b r iy v iy ey t ih d
abbreviation 1.0	ax b r iy v iy ey sh ih n
abby 1.0	ae b iy
abcs 1.0	iy b iy s iy z
abdominals 1.0	ae b d aa m ih n ax l z
abducting 1.0	ae b d ah k t ih ng
abduction 1.0	ae b d ah k sh ih n
abdul 1.0	ae b d uw l
abe 1.0	ey b
aberdeen 1.0	ae b er d iy n
abhor 1.0	ae b hh ow r
abide 1.0	ax b ay d
abiding 1.0	ax b ay d ih ng
abilene 1.0	ae b ih l iy n
abilities 1.0	ax b ih l ih t iy z
ability 1.0	ax b ih l ih t iy
able 1.0	ey b ax l
able-bodied 1.0	ey b ax l b aa d iy d
abnormal 1.0	ae b n ow r m ax l
abnormality 1.0	ae b n er m ae l ih t iy
aboard 1.0	ax b ow r d
abolish 1.0	ax b aa l ih sh
aborigines 1.0	ae b ax r ih jh ih n iy z
abort 1.0	ax b ow r t
aborting 1.0	ax b ow r t ih ng
abortion 1.0	ax b ow r sh ih n
abortion's 1.0	ax b ow r sh ih n z
abortions 1.0	ax b ow r sh ih n z
abou- 1.0	ax b aw
abounding 1.0	ax b aw n d ih ng
about 1.0	ax b aw t
about 1.0	b aw t
abouts 1.0	ax b aw t s
above 1.0	ax b ah v
aboveboard 1.0	ax b ah v b ow r d
abraham 1.0	ey b r ax hh ae m
abrams 1.0	ey b r ax m z
abrasive 1.0	ax b r ey s ih v
abreast 1.0	ax b r eh s t
abridged 1.0	ax b r ih jh d
abroad 1.0	ax b r ao d
abrode 1.0	ax b r ow d
abrupt 1.0	ax b r ah p t
abs- 1.0	ae b s
absence 1.0	ae b s ax n s
absent 1.0	ae b s eh n t
absentee 1.0	ae b s eh n t iy
absenteeism 1.0	ae b s eh n t iy ih z ax m
absentees 1.0	ae b s ih n t iy z
abso- 1.0	ae b s ax
absol- 1.0	ae b s ax l
absolu- 1.0	ae b s ax l uw
absolut- 1.0	ae b s ax l uw t
absolute 1.0	ae b s ax l uw t
absolute- 1.0	ae b s ax l uw t
absolutely 1.0	ae b s ax l uw t l iy
absoluteness 1.0	ae b s ax l uw t n ih s
absorb 1.0	ax b z ow r b
absorbed 1.0	ax b z ow r b d
absorbs 1.0	ax b z ow r b z
abstinence 1.0	ae b s t ih n ih n s
abstract 1.0	ae b s t r ae k t
abstracts 1.0	ae b s t r ae k t s
absurd 1.0	ax b s er d
abundance 1.0	ax b ah n d ih n s
abundant 1.0	ax b ah n d ih n t
abundantly 1.0	ax b ah n d ih n t l iy
abuse 1.0	ax b y uw s
abused 1.0	ax b y uw z d
abuser 1.0	ax b y uw z er
abusers 1.0	ax b y uw z er z
abuses 1.0	ax b y uw s ih z
abusing 1.0	ax b y uw z ih ng
abusive 1.0	ax b y uw s ih v
abyss 1.0	ax b ih s
ac- 1.0	ae k
ac- 1.0	ax k
academia 1.0	ae k ax d iy m iy ax
academic 1.0	ae k ax d eh m ih k
academically 1.0	ae k ax d eh m ih k l iy
academics 1.0	ae k ax d eh m ih k s
academies 1.0	ax k ae d ax m iy z
academy 1.0	ax k ae d ax m iy
acapulco 1.0	ae k ax p uh l k ow
acc- 1.0	ae k s
acc- 1.0	ax k
acc- 1.0	eh k s
acce- 1.0	eh k s eh
accelerate 1.0	ae k s eh l ax r ey t
accelerated 1.0	ae k s eh l ax r ey t ih d
acceleration 1.0	ae k s eh l ax r ey sh ih n
accent 1.0	ae k s eh n t
accent's 1.0	ae k s eh n t s
accents 1.0	ae k s eh n t s
accep- 1.0	eh k s eh p
accept 1.0	eh k s eh p t
acceptable 1.0	eh k s eh p ax b ax l
acceptable 1.0	eh k s eh p t ax b ax l
acceptance 1.0	eh k s eh p t en s
acceptances 1.0	eh k s eh p t en s ih z
accepted 1.0	eh k s eh p t ih d
accepting 1.0	eh k s eh p t ih ng
acceptive 1.0	eh k s eh p t iy v
accepts 1.0	eh k s eh p s
access 1.0	ae k s eh s
accessed 1.0	ae k s eh s t
accessibility 1.0	ae k s eh s ax b ih l ih t iy
accessible 1.0	ae k s eh s ax b ax l
accessories 1.0	ae k s eh s ax r iy z
accessorize 1.0	ae k s eh s ax r ay z
accessors 1.0	ae k s eh s er z
acci- 1.0	ae k s ih
accident 1.0	ae k s ih d eh n t
accidental 1.0	ae k s ih d eh n t ax l
accidentally 1.0	ae k s ih d eh n t ax l iy
accidently 1.0	ae k s ih d eh n t l iy
accidents 1.0	ae k s ih d eh n t s
acclaim 1.0	ax k l ey m
acclaimed 1.0	ax k l ey m d
acclimate 1.0	ae k l ih m ey t
acclimated 1.0	ae k l ih m ey t ih d
acco- 1.0	ax k aa
acco- 1.0	ax k ow
accom- 1.0	ax k aa m
accommodate 1.0	ax k aa m ax d ey t
accommodated 1.0	ax k aa m ax d ey t ih d
accommodating 1.0	ax k aa m ax d ey t ih ng
accommodations 1.0	ax k aa m ax d ey sh ih n z
accompanied 1.0	ax k ah m p ax n iy d
accompanies 1.0	ax k ah m p ax n iy z
accompaniments 1.0	ax k ah m p ax n iy m ih n t s
accompany 1.0	ax k ah m p ax n iy
accomplices 1.0	ax k aa m p l ih s ih z
accomplish 1.0	ax k aa m p l ih sh
accomplished 1.0	ax k aa m p l ih sh t
accomplishes 1.0	ax k aa m p l ih sh ih z
accomplishing 1.0	ax k aa m p l ih sh ih ng
accomplishment 1.0	ax k aa m p l ih sh m ih n t
accomplishments 1.0	ax k aa m p l ih sh m ih n t s
accor- 1.0	ax k ow r
accord 1.0	ax k ow r d
accordance 1.0	ax k ow r d en s
according 1.0	ax k ow r d ih ng
accordingly 1.0	ax k ow r d ih ng l iy
accordion 1.0	ax k ow r d iy ih n
accords 1.0	ax k ow r d z
accosted 1.0	ax k ao s t ih d
account 1.0	ax k aw n t
account's 1.0	ax k aw n t s
accountability 1.0	ax k aw n t ax b ih l ih t iy
accountable 1.0	ax k aw n t ax b ax l
accountant 1.0	ax k aw n t en t
accountant's 1.0	ax k aw n t en t s
accountants 1.0	ax k aw n t en t s
accounted 1.0	ax k aw n t ih d
accounting 1.0	ax k aw n ih ng
accounting 1.0	ax k aw n t ih ng
accounts 1.0	ax k aw n t s
accredita- 1.0	ax k r eh d ih t ey
accreditation 1.0	ax k r eh d ih t ey sh ih n
accreditations 1.0	ax k r eh d ih t ey sh ih n z
accredited 1.0	ax k r eh d ih t ih d
accrue 1.0	ax k r uw
accrued 1.0	ax k r uw d
accu- 1.0	ae k y ax
accumulate 1.0	ax k y uw m y ax l ey t
accumulated 1.0	ax k y uw m y ax l ey t ih d
accumulates 1.0	ax k y uw m y ax l ey t s
accumulating 1.0	ax k y uw m y ax l ey t ih ng
accumulation 1.0	ax k y uw m y ax l ey sh ih n
accumulative 1.0	ax k y uw m y ax l ax t ih v
accumulators 1.0	ax k y uw m y ax l ey t er z
accuracy 1.0	ae k y ax r ax s iy
accurate 1.0	ae k y ax r ih t
accurate- 1.0	ae k y ax r ih t
accurately 1.0	ae k y ax r ih t l iy
accusation 1.0	ae k y uw z ey sh ih n
accusations 1.0	ae k y uw z ey sh ih n z
accuse 1.0	ax k y uw z
accused 1.0	ax k y uw z d
accuses 1.0	ax k y uw z ih z
accusing 1.0	ax k y uw z ih ng
accustom 1.0	ax k ah s t ax m
accustomed 1.0	ax k ah s t ax m d
ace 1.0	ey s
aces 1.0	ey s ih z
ache 1.0	ey k
aches 1.0	ey k s
achie- 1.0	ax ch iy
achieve 1.0	ax ch iy v
achieved 1.0	ax ch iy v d
achievement 1.0	ax ch iy v m ih n t
achievements 1.0	ax ch iy v m ih n t s
achieving 1.0	ax ch iy v ih ng
acid 1.0	ae s ih d
acidic 1.0	ax s ih d ih k
acidity 1.0	ax s ih d ih t iy
acids 1.0	ae s ih d z
acknowledge 1.0	ae k n aa l ih jh
acknowledging 1.0	ae k n aa l ih jh ih ng
acorn 1.0	ey k ow r n
acorns 1.0	ey k ow r n z
acoust- 1.0	ax k uw s t
acoustic 1.0	ax k uw s t ih k
acoustical 1.0	ax k uw s t ih k ax l
acoustically 1.0	ax k uw s t ih k l iy
acoustics 1.0	ax k uw s t ih k s
acquaint- 1.0	ax k w ey n t
acquaintance 1.0	ax k w ey n t en s
acquaintances 1.0	ax k w ey n t en s ih z
acquainted 1.0	ax k w ey n t ih d
acquire 1.0	ax k w ay r
acquired 1.0	ax k w ay r d
acquiring 1.0	ax k w ay r ih ng
acquisition 1.0	ae k w ih z ih sh ih n
acquit 1.0	ax k w ih t
acquittal 1.0	ax k w ih t ax l
acquitted 1.0	ax k w ih t ih d
acquitting 1.0	ax k w ih t ih ng
acre 1.0	ey k er
acreage 1.0	ey k ax r ih jh
acres 1.0	ey k er z
acro- 1.0	ax k r ao
across 1.0	ax k r ao s
acrostic 1.0	ax k r aa s t ih k
acrylic 1.0	ax k r ih l ih k
acrylics 1.0	ax k r ih l ih k s
act 1.0	ae k t
act- 1.0	ae k ch
act- 1.0	ae k sh
act- 1.0	ae k t
acted 1.0	ae k t ih d
acting 1.0	ae k t ih ng
actinide 1.0	ae k t ih n ay d
action 1.0	ae k sh ih n
actions 1.0	ae k sh ih n z
activate 1.0	ae k t ih v ey t
activated 1.0	ae k t ih v ey t ih d
active 1.0	ae k t ih v
actively 1.0	ae k t ih v l iy
activist 1.0	ae k t ih v ih s t
activists 1.0	ae k t ih v ih s t s
activities 1.0	ae k t ih v ih t iy z
activity 1.0	ae k t ih v ih t iy
actor 1.0	ae k t er
actors 1.0	ae k t er z
actors' 1.0	ae k t er z
actress 1.0	ae k t r ih s
actresses 1.0	ae k t r ih s ih z
acts 1.0	ae k t s
actu- 1.0	ae k ch uw
actua- 1.0	ae k ch uw ax
actual 1.0	ae k ch uw ax l
actuality 1.0	ae k ch uw ae l ih t iy
actuall- 1.0	ae k ch uw ax l
actually 1.0	ae k ch uw ax l iy
acuity 1.0	ax k y uw ih t iy
acupuncture 1.0	ae k y uw p ah ng ch er
acura 1.0	ae k y ax r ax
acute 1.0	ax k y uw t
acutely 1.0	ax k y uw t l iy
ad 1.0	ae d
ad 1.0	ax 
ad- 1.0	ae d
ad- 1.0	ax
adage 1.0	ae d ih jh
adam 1.0	ae d ax m
adamant 1.0	ae d ax m ax n t
adamantly 1.0	ae d ax m ax n t l iy
adamnet 1.0	ae d ax m n eh t
adams 1.0	ae d ax m z
adapt 1.0	ax d ae p t
adaptable 1.0	ax d ae p t ax b ax l
adaptation 1.0	ae d ax p t ey sh ih n
adaptations 1.0	ae d ax p t ey sh ih n z
adapted 1.0	ax d ae p t ih d
adapting 1.0	ax d ae p t ih ng
adcose 1.0	ae d k ow z
add 1.0	ae d
add- 1.0	ae d
add- 1.0	ax d
addams 1.0	ae d ax m z
added 1.0	ae d ih d
adder 1.0	ae d er
addict 1.0	ae d ih k t
addicted 1.0	ax d ih k t ih d
addiction 1.0	ax d ih k sh ih n
addictions 1.0	ax d ih k sh ih n z
addictive 1.0	ax d ih k t ih v
addicts 1.0	ae d ih k t s
adding 1.0	ae d ih ng
addison 1.0	ae d ih s ax n
addition 1.0	ax d ih sh ih n
additional 1.0	ax d ih sh ih n ax l
additionally 1.0	ax d ih sh ih n ax l iy
additions 1.0	ax d ih sh ih n z
additives 1.0	ae d ih t ih v z
addled 1.0	ae d el d
address 1.0	ae d r eh s
address 1.0	ax d r eh s
addressed 1.0	ax d r eh s t
addresses 1.0	ae d r eh s ih z
addressing 1.0	ax d r eh s ih ng
adds 1.0	ae d z
adelaide 1.0	ae d ax l ey d
adept 1.0	ae d eh p t
adequate 1.0	ae d ax k w ih t
adequately 1.0	ae d ax k w ih t l iy
adh- 1.0	ae d hh
adhere 1.0	ae d hh iy r
adherence 1.0	ae d hh iy r ih n s
adheres 1.0	ae d hh iy r z
adhering 1.0	ae d hh iy r ih ng
adhesive 1.0	ae d hh iy s ih v
adios 1.0	aa d iy ow s
adirondack 1.0	ae d ih r aa n d ae k
adirondacks 1.0	ae d ih r aa n d ae k s
adjacent 1.0	ax jh ey s ih n t
adjoin 1.0	ax jh oy n
adjoining 1.0	ax jh oy n ih ng
adjourned 1.0	ax jh er n d
adjudicator 1.0	ae d jh uw d ih k ey t er
adjust 1.0	ax jh ah s t
adjustability 1.0	ax jh ah s t ax b ih l ih t iy
adjustable 1.0	ax jh ah s t ax b ax l
adjusted 1.0	ax jh ah s t ih d
adjuster 1.0	ax jh ah s t er
adjusters 1.0	ax jh ah s t er z
adjusting 1.0	ax jh ah s t ih ng
adjustment 1.0	ax jh ah s t m ih n t
adjustments 1.0	ax jh ah s t m ih n t s
admin 1.0	ae d m ih n
adminis- 1.0	ae d m ih n ih s
administaff 1.0	ae d m ih n ih s t ae f
administer 1.0	ae d m ih n ih s t er
administered 1.0	ae d m ih n ih s t er d
administering 1.0	ae d m ih n ih s t ax r ih ng
administers 1.0	ae d m ih n ih s t er z
administrate 1.0	ae d m ih n ih s t r ey t
administrating 1.0	ae d m ih n ih s t r ey t ih ng
administration 1.0	ae d m ih n ih s t r ey sh ih n
administration's 1.0	ae d m ih n ih s t r ey sh ih n z
administrations 1.0	ae d m ih n ih s t r ey sh ih n z
administrative 1.0	ae d m ih n ih s t r ey t ih v
administratively 1.0	ae d m ih n ih s t r ey t ih v l iy
administrator 1.0	ae d m ih n ih s t r ey t er
administrators 1.0	ae d m ih n ih s t r ey t er z
administrators' 1.0	ae d m ih n ih s t r ey t er z
admirable 1.0	ae d m ax r ax b ax l
admiral 1.0	ae d m ih r ax l
admiration 1.0	ae d m ax r ey sh ih n
admire 1.0	ae d m ay r
admirer 1.0	ax d m ay r er
admires 1.0	ae d m ay r z
admissible 1.0	ae d m ih s ax b ax l
admission 1.0	ae d m ih sh ih n
admissions 1.0	ae d m ih sh ih n z
admit 1.0	ae d m ih t
admits 1.0	ae d m ih t s
admitted 1.0	ae d m ih t ih d
admittedly 1.0	ae d m ih t ih d l iy
admitting 1.0	ae d m ih t ih ng
admonition 1.0	ae d m ax n ih sh ih n
admonitions 1.0	ae d m ax n ih sh ih n z
adobo 1.0	ax d ow b ow
adolescence 1.0	ae d ax l eh s ih n s
adolescents 1.0	ae d ax l eh s ih n t s
adolf 1.0	ae d aa l f
adolph's 1.0	ae d aa l f s
adopt 1.0	ax d aa p t
adopt- 1.0	ax d aa p t
adopt-a-highway 1.0	ax d aa p t ax hh ay w ey
adopted 1.0	ax d aa p t ih d
adopting 1.0	ax d aa p t ih ng
adoption 1.0	ax d aa p sh ih n
adoptive 1.0	ax d aa p t ih v
adopts 1.0	ax d aa p t s
adorable 1.0	ax d ow r ax b ax l
adore 1.0	ax d ow r
adored 1.0	ax d ow r d
adornment 1.0	ax d ow r n m ih n t
adrenalin 1.0	ax d r eh n ax l ih n
adrenaline 1.0	ax d r eh n ax l ih n
adrian 1.0	ey d r iy ih n
adrift 1.0	ax d r ih f t
adroit 1.0	ax d r oy t
ads 1.0	ae d z
adubato 1.0	ae d uw b aa t ow
adult 1.0	ae d ax l t
adult's 1.0	ae d ax l t s
adulthood 1.0	ax d ah l t hh uh d
adults 1.0	ae d ax l t s
adv- 1.0	ae d v
adva- 1.0	ae d v ae
advan- 1.0	ae d v ae n
advance 1.0	ae d v ae n s
advanced 1.0	ae d v ae n s t
advancement 1.0	ae d v ae n s m ih n t
advances 1.0	ae d v ae n s ih z
advancing 1.0	ae d v ae n s ih ng
advantage 1.0	ae d v ae n t ih jh
advantaged 1.0	ae d v ae n t ih jh d
advantageous 1.0	ae d v ax n t ey jh ih s
advantages 1.0	ae d v ae n t ih jh ih z
advent 1.0	ae d v eh n t
adventists 1.0	ae d v eh n t ih s t s
adventure 1.0	ae d v eh n ch er
adventured 1.0	ae d v eh n ch er d
adventurer 1.0	ae d v eh n ch ax r er
adventures 1.0	ae d v eh n ch er z
adventuresome 1.0	ae d v eh n ch er s ax m
adventurous 1.0	ae d v eh n ch ax r ih s
adver- 1.0	ae d v er
adversaries 1.0	ae d v er s eh r iy z
adverse 1.0	ae d v er s
advert- 1.0	ae d v er t
advertise 1.0	ae d v er t ay z
advertised 1.0	ae d v er t ay z d
advertisement 1.0	ae d v er t ay z m ih n t
advertisements 1.0	ae d v er t ay z m ih n t s
advertisers 1.0	ae d v er t ay z er z
advertising 1.0	ae d v er t ay z ih ng
advice 1.0	ae d v ay s
advil 1.0	ae d v ih l
advisable 1.0	ae d v ay z ax b ax l
advise 1.0	ae d v ay z
advised 1.0	ae d v ay z d
advisement 1.0	ae d v ay z m ih n t
advises 1.0	ae d v ay z ih z
advising 1.0	ae d v ay z ih ng
advisor 1.0	ae d v ay z er
advisors 1.0	ae d v ay z ax r z
advisory 1.0	ae d v ay z ax r iy
advocacy 1.0	ae d v ax k ax s iy
advocate 1.0	ae d v ax k ey t
advocates 1.0	ae d v ax k ey t s
advocating 1.0	ae d v ax k ey t ih ng
ae- 1.0	ax
aerate 1.0	ey r ey t
aerial 1.0	ey r iy ax l
aero- 1.0	ey r ow
aerob- 1.0	ax r ow b
aerobatics 1.0	ey r ax b ae t ih k s
aerobic 1.0	ax r ow b ih k
aerobically 1.0	ax r ow b ih k l iy
aerobics 1.0	ax r ow b ih k s
aerodynamic 1.0	ey r ow d ay n ae m ih k
aerodyne 1.0	ey r ow d ay n
aeronautical 1.0	ey r ax n ao t ih k ax l
aerosmith 1.0	ey r ow s m ih th
aerosol 1.0	ey r ax s ao l
aerosols 1.0	ey r ax s ao l s
aerospace 1.0	ey r ow s p ey s
aerostar 1.0	ey r ow s t aa r
aesthetic 1.0	eh s th eh t ih k
aesthetically 1.0	eh s th eh t ih k l iy
aetna 1.0	eh t n ax
af- 1.0	ae f
af- 1.0	ax f
afar 1.0	ax f aa r
aff- 1.0	ae f
aff- 1.0	ax f
aff- 1.0	ax f 
affair 1.0	ax f ey r
affairs 1.0	ax f ey r z
affect 1.0	ae f eh k t
affect- 1.0	ae f eh k
affected 1.0	ax f eh k t ih d
affecting 1.0	ax f eh k t ih ng
affection 1.0	ax f eh k sh ih n
affectionate 1.0	ax f eh k sh ih n ih t
affects 1.0	ae f eh k s
affidavit 1.0	ae f ih d ey v ih t
affiliate 1.0	ax f ih l iy ey t
affiliated 1.0	ax f ih l iy ey t ih d
affiliates 1.0	ax f ih l iy ey t s
affiliation 1.0	ax f ih l iy ey sh ih n
affirmative 1.0	ax f er m ax t ih v
affixing 1.0	ax f ih k s ih ng
afflicted 1.0	ax f l ih k t ih d
affluence 1.0	ae f l uw ih n s
affluent 1.0	ae f l uw ih n t
affluents 1.0	ae f l uw ih n t s
afford 1.0	ax f ow r d
affordable 1.0	ax f ow r d ax b ax l
afforded 1.0	ax f ow r d ih d
affording 1.0	ax f ow r d ih ng
affords 1.0	ax f ow r d z
afghan 1.0	ae f g ae n
afghani 1.0	ae f g ae n iy
afghanis- 1.0	ae f g ae n ih s
afghanistan 1.0	ae f g ae n ih s t ae n
afghanistanis 1.0	ae f g ae n ih s t ae n ih s
